,DIVISION,YRCONC,SQM,NormalizedGasKWh,NormalizedElecKWh,NormalizedHeatKWh,NormalizedCoolKWh
1,9,2,2601.284,22.75677132831325,172.2330203084323,22.463281668975785,4.8988550354363465
3,7,3,22296.72,15.924377124527735,25.95094704512592,14.926395863337747,3.560232362921542
4,2,1,27406.385,36.213051177490215,13.801272951540309,36.213051177490215,0.0
5,5,2,8732.882,41.4129382643668,90.66480000531325,23.112818259997102,16.311754230161362
7,3,1,11334.166,23.131661634301107,77.46463215731974,21.44343811701717,7.73200682308694
8,8,3,8918.688,16.597980958297903,81.39425888650887,16.597980958297903,7.424232156456196
9,2,0,20438.66,276.686855525558,71.49049888789187,259.9537272137215,3.078250237344327
10,2,1,696.7725,169.0903023727257,239.02206243788322,167.47094548077027,24.815277379632523
11,9,1,32516.05,82.66241596057948,156.40795853124843,27.599555755819054,21.554601631194444
12,8,2,2833.5415,155.68715050158966,70.62222310843163,157.42765749187018,8.957281131403935
14,3,2,278.709,130.18577880872164,74.53652375775451,145.87145852125337,3.6729958594806775
16,5,0,4738.053,17.718226216338234,102.58707532397801,7.363620317670572,34.64650564630662
18,6,0,17094.152,102.89560336201528,178.2114140555203,102.89560336201528,23.702364983299557
20,3,3,22296.72,99.40407822724599,125.62372402756996,91.04124341965993,8.903912944415143
21,9,0,19509.63,44.725090103861525,119.74537702662735,0.14284290060857124,9.281243379756562
25,2,2,16908.346,73.73921407670508,110.0404498464841,66.34748656083806,11.78127204488245
28,3,2,39019.26,3.150798327415743,123.92259617429956,31.161128444516887,6.627330744304223
29,5,3,301.93475,49.4736987710093,51.62704855933277,49.990081108583894,7.215763717160745
31,9,3,17651.57,36.85123879620907,113.36187092706201,34.89750075574015,6.499454363549532
32,6,3,14678.673999999999,69.28215343817841,270.65939334847275,44.87785542072806,39.28602280417156
35,5,2,501.6762,169.08025441509884,8.549339195281737,169.08025441509884,0.0
37,8,3,2461.9295,2.920437341118013,149.55261716470758,5.354710491100578,21.46050637843204
38,7,0,4645.15,58.58915254469717,45.53695790232824,4.198824175968484,2.5839888649451583
39,2,2,9290.392903,442.2725965796541,274.8848220590698,349.2564576071084,19.483255342575475
41,4,0,1927.73725,30.581748740913735,8.687387246368768,29.771132785860733,0.0
42,8,3,20438.66,280.8366917657028,224.70181508963896,235.8608799308761,5.221278852429661
43,1,0,33445.08,158.57569013705455,63.9936277622897,103.20977284805419,2.419396308814331
44,2,0,46451.592903,101.0632074485827,77.53785769028788,151.5001199937645,10.294205937017876
45,5,3,1045.15875,24.546085584606168,104.7333718442294,29.746814982891355,40.938463861112005
48,3,1,24154.78,9.034531225786367,141.05257841305118,86.55905039159953,5.584888522437382
50,4,0,11519.972,74.4234752447315,229.58788441499684,107.15083406470087,23.227968422145473
52,7,3,20438.66,113.8197349970595,40.92337755997703,3.401294730427533,2.2066223088499934
53,3,2,4645.15,79.30024348880016,38.3959613790728,78.35720995123948,8.152662787854
54,9,3,21367.69,69.45142825434102,136.01456217307535,16.514971487325024,15.5979866449298
55,7,1,2322.575,12.454579009073983,39.964263802030075,17.556310320657033,6.736314364444637
56,3,2,10219.33,167.17776923213165,507.5215302764467,20.622624731464786,15.061223575518163
58,5,2,18580.692903,50.78623773571122,261.9831254632087,30.744272734509664,36.47015863372833
59,5,3,19509.63,78.65231446090982,221.2319762086723,51.15378674628889,37.81814239121911
61,3,0,780.3851999999999,230.2817884821496,143.1421303223075,91.77983089633172,26.2454489218914
62,7,2,2322.575,172.40535726725727,278.45085734583387,43.69424476066436,51.21352869767393
64,6,1,1114.836,23.795608302925274,37.2610859355098,21.478560957844923,1.4923845901998143
65,7,1,1416.77075,21.443360545098777,21.769224131709382,21.443360545098777,3.496528364239593
66,2,3,2879.993,28.2443792314773,108.81068113707221,39.959513887707374,5.5788439183706355
68,7,2,1138.06175,23.47015962886021,143.1512833112966,21.9860853481808,32.52370803868947
71,7,3,743.224,148.73425016953166,409.65846097542595,94.5352162201436,64.1703028763872
73,2,1,9290.3,11.535772733065674,104.54861522232868,10.729648460006675,33.89740896225095
74,7,0,1950.963,103.78665622259366,108.16914518624905,93.1846755766255,22.384980205160225
76,3,0,817.5464,62.994679884835904,118.46667051558175,62.81042307201158,9.438680703627343
77,3,1,2229.672,215.40522389571203,22.073650294751875,215.40522389571203,10.206811747647189
80,3,3,3948.3775,32.575497869947846,239.16254208215906,23.370919896337167,12.781884562203082
81,7,3,5945.792,18.193070499102557,194.50529046424765,38.475219827905185,26.81180838566166
