DOEID,REGIONC,DIVISION,STATE_FIPS,state_postal,state_name,BA_climate,IECC_climate_code,UATYP10,,,,,TYPEHUQ,CELLAR,CRAWL,CONCRETE,BASEOTH,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,SIZEOFGARAGE,KOWNRENT,YEARMADERANGE
100001,WEST,Mountain South,35,NM,New Mexico,Mixed-Dry,4B,U,,,,,2,0,0,1,0,-2,0,-2,1,1,2,1,4
100002,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
100003,WEST,Mountain South,35,NM,New Mexico,Mixed-Dry,4B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
100004,SOUTH,South Atlantic,45,SC,South Carolina,Mixed-Humid,3A,U,,,,,2,0,1,0,0,-2,0,-2,2,1,2,1,5
100005,NORTHEAST,Middle Atlantic,34,NJ,New Jersey,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3
100006,SOUTH,West South Central,48,TX,Texas,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,1,2,0,-2,2,6
100007,SOUTH,West South Central,40,OK,Oklahoma,Mixed-Humid,3A,U,,,,,2,1,0,1,0,0,1,1,2,0,-2,2,2
100008,SOUTH,East South Central,28,MS,Mississippi,Mixed-Humid,3A,C,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
100009,SOUTH,South Atlantic,11,DC,District of Columbia,Mixed-Humid,4A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,7
100010,WEST,Mountain South,04,AZ,Arizona,Hot-Dry,2B,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,5
100011,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,4
100012,SOUTH,West South Central,48,TX,Texas,Hot-Dry,3B,U,,,,,2,0,0,1,0,-2,1,0,1,0,-2,1,8
100013,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,0,1,1,2,1,4
100014,MIDWEST,West North Central,27,MN,Minnesota,Very-Cold,7A,R,,,,,2,1,0,0,0,1,0,-2,1,1,2,1,2
100015,NORTHEAST,New England,50,VT,Vermont,Cold,6A,R,,,,,2,1,0,0,0,0,0,-2,2,0,-2,1,2
100016,WEST,Pacific,06,CA,California,Hot-Dry,3B,U,,,,,3,0,0,1,0,-2,0,-2,2,1,2,2,3
100017,NORTHEAST,New England,44,RI,Rhode Island,Cold,5A,R,,,,,2,0,0,1,0,-2,0,-2,2,1,2,1,5
100018,WEST,Mountain South,35,NM,New Mexico,Mixed-Dry,4B,U,,,,,2,0,0,1,0,-2,1,0,1,1,3,1,6
100019,SOUTH,West South Central,05,AR,Arkansas,Mixed-Humid,3A,U,,,,,3,0,0,1,0,-2,1,0,1,0,-2,2,4
100020,SOUTH,West South Central,22,LA,Louisiana,Hot-Humid,2A,U,,,,,2,0,0,1,0,-2,1,1,1,0,-2,2,3
100021,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,3,1,0,0,0,0,1,0,2,0,-2,2,3
100022,MIDWEST,East North Central,17,IL,Illinois,Cold,5A,U,,,,,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4
100023,NORTHEAST,New England,23,ME,Maine,Cold,6A,R,,,,,2,1,0,0,0,0,0,-2,2,1,2,1,7
